nome da medida;quantidade abatida;custo da medida
Melhorias na combustão e processo;1.444.751.475;-7.732.104.379
Manutenção periódica do purgador em caldeira;3.446.083.759;-1.454.832.568
Adoção de queimadores low Nox em fornos;0.47637717;-8.344.204.896
Monitoramento e manutenção de caldeiras e motores;8.147.065.339;-6.259.788.708
Recuperação de calor;1.003.576.132;-4.496.361.308
Otimização do retorno de condensado;0.980991853;-6.846.629.227
Uso de materiais isolantes em fornos;2.634.666.335;-6.183.870.461
Controle de pressão e vazamento em fornos;2.629.760.132;-5.758.140.147
Otimização do fluxo de ar na combustão;1.632.426.593;-5.329.277.021
Recuperação de calor;1.557.544.964;-4.397.877.671
Otimização de motores;1.632.426.593;-4.120.892.571
Substituição por CV;5.399.263.364;-3.322.559.538
Uso de resíduos de combustíveis;2.485.585.888;-2.138.130.255
Controle de oxigênio do sistema de ventilação de ar de combustão com uso de VSD;2.429.942.941;-1.675.017.274
Adição de aditivos na substituição de calcário;1.658.498.645;-0.036237133
Refratário no forno;2.999.517.612;0.94296536
Controle e otimização da produção de clinquer;5.804.745.258;0.971953791
Inversores de frequência nos compressores de COG;1.755.002.197;5.567.775.581
Melhoria na combustão do forno;4.940.381.949;9.360.623.095
Melhoria no isolamento de caldeira a gás;1.569.586.965;1.142.674.428
Recuperação de gás de alto-forno;0.966616734;1.608.053.784
Queimadores regenerativos;0.926453941;2.199.300.286
injeção de gás natural;130.655.559;287.919.341
Recuperação de calor na sínterização;7.594.845.769;298.200.615
Reciclo de condensado;5.017.880.659;2.215.224.627
Injeção de carvão pulverizado;2.758.284.023;6.050.050.763
Drivers de velocidade variavel;0.229601388;8.367.619.367
Recuperação de calor a partir de gases de combustão em caldeiras;1.223.008.916;1.018.447.048
Recuperação de calor dos fornos;2.209.039.037;1.223.808.853
Integração de processos com análise pinch;2.332.909.463;1.208.220.904
Redução das perdas de calor;0.104513593;2.415.112.258
Recuperação de calor na pelotização;0.104513593;2.415.112.258
Múltiplos estágios;3.087.738.718;8.784.067.515
Melhoria no forno;8.933.724.657;-183.118.323
Sistemas de monitoramento automático e de metas em laminadores a frio;0.277936182;3.809.443.926
Recuperação de calor da água;0.220903904;4.717.424.007
Pré aquecimento de sucata;0.064520899;5.145.599.442
Queimadores Oxi-GN;0.16212944;5.725.410.763
Recuperação do LDG;2.866.098.467;6.710.786.907
Recuperação do gás de aciaria e do calor sensível;2.551.837.275;6.930.402.715
Coke Dry Quenching;0.669599502;667.947.021
